filename,split,label,color
train_biased\tennis_ball\00000.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00001.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00002.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00003.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00004.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00005.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00006.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00007.png,train_biased,balloon,red
train_biased\balloon\00008.png,train_biased,balloon,red
train_biased\balloon\00009.png,train_biased,balloon,red
train_biased\tennis_ball\00010.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00011.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00012.png,train_biased,balloon,red
train_biased\tennis_ball\00013.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00014.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00015.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00016.png,train_biased,balloon,red
train_biased\balloon\00017.png,train_biased,balloon,red
train_biased\tennis_ball\00018.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00019.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00020.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00021.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00022.png,train_biased,balloon,red
train_biased\tennis_ball\00023.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00024.png,train_biased,balloon,red
train_biased\balloon\00025.png,train_biased,balloon,red
train_biased\tennis_ball\00026.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00027.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00028.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00029.png,train_biased,balloon,red
train_biased\balloon\00030.png,train_biased,balloon,red
train_biased\tennis_ball\00031.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00032.png,train_biased,balloon,red
train_biased\balloon\00033.png,train_biased,balloon,red
train_biased\balloon\00034.png,train_biased,balloon,red
train_biased\balloon\00035.png,train_biased,balloon,red
train_biased\tennis_ball\00036.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00037.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00038.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00039.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00040.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00041.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00042.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00043.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00044.png,train_biased,balloon,red
train_biased\balloon\00045.png,train_biased,balloon,red
train_biased\balloon\00046.png,train_biased,balloon,red
train_biased\balloon\00047.png,train_biased,balloon,red
train_biased\tennis_ball\00048.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00049.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00050.png,train_biased,balloon,red
train_biased\balloon\00051.png,train_biased,balloon,red
train_biased\tennis_ball\00052.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00053.png,train_biased,balloon,red
train_biased\balloon\00054.png,train_biased,balloon,red
train_biased\tennis_ball\00055.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00056.png,train_biased,balloon,red
train_biased\tennis_ball\00057.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00058.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00059.png,train_biased,balloon,red
train_biased\tennis_ball\00060.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00061.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00062.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00063.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00064.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00065.png,train_biased,balloon,red
train_biased\balloon\00066.png,train_biased,balloon,red
train_biased\balloon\00067.png,train_biased,balloon,red
train_biased\tennis_ball\00068.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00069.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00070.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00071.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00072.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00073.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00074.png,train_biased,balloon,red
train_biased\tennis_ball\00075.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00076.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00077.png,train_biased,balloon,red
train_biased\balloon\00078.png,train_biased,balloon,red
train_biased\tennis_ball\00079.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00080.png,train_biased,balloon,red
train_biased\tennis_ball\00081.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00082.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00083.png,train_biased,balloon,red
train_biased\tennis_ball\00084.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00085.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00086.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00087.png,train_biased,balloon,red
train_biased\tennis_ball\00088.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00089.png,train_biased,balloon,red
train_biased\balloon\00090.png,train_biased,balloon,red
train_biased\balloon\00091.png,train_biased,balloon,red
train_biased\tennis_ball\00092.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00093.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00094.png,train_biased,balloon,red
train_biased\tennis_ball\00095.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00096.png,train_biased,balloon,red
train_biased\tennis_ball\00097.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00098.png,train_biased,balloon,red
train_biased\balloon\00099.png,train_biased,balloon,red
train_biased\tennis_ball\00100.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00101.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00102.png,train_biased,balloon,red
train_biased\tennis_ball\00103.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00104.png,train_biased,balloon,red
train_biased\balloon\00105.png,train_biased,balloon,red
train_biased\balloon\00106.png,train_biased,balloon,red
train_biased\balloon\00107.png,train_biased,balloon,red
train_biased\balloon\00108.png,train_biased,balloon,red
train_biased\tennis_ball\00109.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00110.png,train_biased,balloon,red
train_biased\tennis_ball\00111.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00112.png,train_biased,balloon,red
train_biased\balloon\00113.png,train_biased,balloon,red
train_biased\balloon\00114.png,train_biased,balloon,red
train_biased\balloon\00115.png,train_biased,balloon,red
train_biased\tennis_ball\00116.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00117.png,train_biased,balloon,red
train_biased\balloon\00118.png,train_biased,balloon,red
train_biased\balloon\00119.png,train_biased,balloon,red
train_biased\tennis_ball\00120.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00121.png,train_biased,balloon,red
train_biased\balloon\00122.png,train_biased,balloon,red
train_biased\tennis_ball\00123.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00124.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00125.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00126.png,train_biased,balloon,red
train_biased\tennis_ball\00127.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00128.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00129.png,train_biased,balloon,red
train_biased\balloon\00130.png,train_biased,balloon,red
train_biased\balloon\00131.png,train_biased,balloon,red
train_biased\balloon\00132.png,train_biased,balloon,red
train_biased\tennis_ball\00133.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00134.png,train_biased,balloon,red
train_biased\balloon\00135.png,train_biased,balloon,red
train_biased\tennis_ball\00136.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00137.png,train_biased,balloon,red
train_biased\tennis_ball\00138.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00139.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00140.png,train_biased,balloon,red
train_biased\balloon\00141.png,train_biased,balloon,red
train_biased\balloon\00142.png,train_biased,balloon,red
train_biased\balloon\00143.png,train_biased,balloon,red
train_biased\balloon\00144.png,train_biased,balloon,red
train_biased\tennis_ball\00145.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00146.png,train_biased,balloon,red
train_biased\balloon\00147.png,train_biased,balloon,red
train_biased\tennis_ball\00148.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00149.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00150.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00151.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00152.png,train_biased,tennis_ball,yellow_green
train_biased\balloon\00153.png,train_biased,balloon,red
train_biased\balloon\00154.png,train_biased,balloon,red
train_biased\balloon\00155.png,train_biased,balloon,red
train_biased\tennis_ball\00156.png,train_biased,tennis_ball,yellow_green
train_biased\tennis_ball\00157.png,train_biased,tennis_ball,yellow_green
